price,title,url,seller,description
250.0,Velo demi course Lejeune vintage. Pedalier TA dérailleur simplex slj selle brook,https://www.ebay.fr/itm/393569176955?hash=item5ba28d0d7b%3Ag%3AcZIAAOSwQXhhPvUU&LH_BIN=1,pacr9445,
,Vélo de course de légende GIOS,https://www.ebay.fr/itm/265355228683?hash=item3dc867760b%3Ag%3AX94AAOSwLixhY0Y%7E&LH_BIN=1,jean3765,
15.0,velo tout terrain d'occasion enfant 24 pouces scrappy vendu par GO SPORT .,https://www.ebay.fr/itm/373752006552?hash=item57055b0798%3Ag%3ApK4AAOSwl%7EdhYyHp&LH_BIN=1,iirdesco-0,
130.0,Ancien VÉLO de COURSE VILLE VINTAGE MOTOBECANE HURET,https://www.ebay.fr/itm/393619112313?hash=item5ba5870179%3Ag%3AIWgAAOSwThVhXXpA&LH_BIN=1,jeansch-5389,
75.0,"VELO HOMME PEUGEOT « CHENONCEAUX »Ville TBEG gris clair REVISE REGLE T53/1,75m",https://www.ebay.fr/itm/265346630547?hash=item3dc7e44393%3Ag%3AVYcAAOSw6glhXVp3&LH_BIN=1,fefe91190,
240.0,ancien vélo Terrot 1920 acier Cadre altes fahrrad old bike,https://www.ebay.fr/itm/234197738415?hash=item368745e3af%3Ag%3AbzkAAOSwN01hSawj&LH_BIN=1,lordfirestarters,
350.0,Nouvelle annonceVelo Ancien 1920/30 Ch Longoni,https://www.ebay.fr/itm/255175719243?hash=item3b69a8794b%3Ag%3AIhkAAOSw0PBhWxDU&LH_BIN=1,antoicrapi,
170.0,Velo hollandais,https://www.ebay.fr/itm/353714474879?hash=item525b068f7f%3Ag%3A7LwAAOSw8n9hYN-W&LH_BIN=1,lafitromai0,
8.5,"ANCIENNE  boîte GRAND BI , vélo ancien collection, bicyle vélocipède 1900",https://www.ebay.fr/itm/174973567933?hash=item28bd3cc3bd%3Ag%3AfhcAAOSwFb5aFeAG&LH_BIN=1,jeantambois,
380.0,"VELO DE VILLE, bicyclette bambou vintage collection, old bike ,no peugeot,terrot",https://www.ebay.fr/itm/174972628048?_trkparms=ispr%3D1&hash=item28bd2e6c50%3Ag%3AxWAAAOSw8vJfnwKr&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSDAeS9EQtjPGVfKXTxF0%252BjtEWaWrqWrTiGlMex1W8uE0lkVGWXDxalpNwmyGfyYL1v98z4ABtfF2qaUPVwnJsjUfEui88lgdzKYo2OkvXzRGxbt47Bo2sJnWCXrR3nIyDh7kDE8yXO5yOMBSSqjYP8FWGZzHfnYOUncetR3yRNUy8lTtaSoINaa%252FnxCfz2cyLutneKDah7wWDGHdzmcCV3UCsKwriLQPhw8LMHF%252BO8SMk%252Blq3V2HnxT3ZoIm3T9bnqbzUk9p1dDQ5OE%252Bjvv6w0QqhwXalhKkqV7uLknFg6cPk8yt8%252F%252FOPg81ziu0JX1GFpCe83JUDuXvZMu7JceM5tUYO9OJ2iUM1AeoOQR3ODSE9%252FE2oIz1c7BfaCE28fdxmgyWZg3vwwBKnpbPbXlNnThZxRUwVulsmlGwGt%252BVKnvUjWmeMvWDCMu8VFKJLZZQk4g67z%252B9gN7DrSJcpLx9HNKaK%252BZHCkBXU8Pyrc3YrIwG%252Begln01ddr%252FJ4q%252B2xyKtUXMf8n1owxUVHH6ToSE6DTfyffV6SIHPSKpDZ0g%252FCO4%252BN3fxCpxbyum71Wsvy0x8%252Fx5hF1KzpAXIekOdqyM5zXHA26mB%252FREvVzwtVTTxf%252Bjh0iwB92ULnlfagfHwwE4oEE53lS6fLBoBM%252Fd578D1YXhpyLBE%252BjzcwwPiUOC6JtgmGmuo%252FrfZbyI9W2xLT5kSBUIuLGkEv0jaSirHzvlo9PuoM%252F6EToErZVnat8i%252B0AbG18uY54qETnFzacyly6dgY33XQM52IkIB92FSMISO0jU3trNsqT4V6mpQ26WCf5r%252FsGdXNgB99FL9s52etYjsd%7Campid%3APL_CLK%7Cclp%3A2334524&LH_BIN=1,jeantambois,
