,municipality,unemployment_2009,unemployment_2014
273,Åtvidaberg,7.8,6.4
274,Älmhult,4.5,4.9
275,Älvdalen,7.3,6.6
276,Älvkarleby,6.8,9.4
277,Älvsbyn,8.9,7.9
278,Ängelholm,5.5,6.3
279,Öckerö,3.3,3.2
280,Ödeshög,6.9,6.7
281,Örebro,6.9,7.2
282,Örkelljunga,4.9,7.5
283,Örnsköldsvik,7.2,7.8
284,Östersund,6.5,7.0
285,Österåker,2.1,3.0
286,Östhammar,3.0,4.2
287,Östra Göinge,8.3,9.9
288,Överkalix,13.0,10.0
289,Övertorneå,13.0,9.3
